StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus
1.0,7.5,,1.0,1.0,65.0,4.4,No,No,61.0,79.0,NotPlaced
2.0,8.9,0.0,3.0,2.0,90.0,4.0,Yes,Yes,78.0,82.0,Placed
3.0,7.3,1.0,2.0,2.0,82.0,4.8,Yes,No,79.0,80.0,
4.0,7.5,1.0,1.0,2.0,85.0,4.4,Yes,Yes,81.0,80.0,Placed
5.0,8.3,1.0,2.0,2.0,86.0,4.5,Yes,Yes,74.0,88.0,Placed
6.0,7.0,0.0,2.0,2.0,71.0,4.2,Yes,No,,66.0,NotPlaced
7.0,7.7,1.0,1.0,1.0,76.0,4.0,No,No,62.0,,NotPlaced
8.0,7.7,2.0,1.0,0.0,85.0,3.5,Yes,Yes,,72.0,NotPlaced
9.0,6.5,1.0,1.0,0.0,84.0,3.9,No,Yes,75.0,71.0,NotPlaced
10.0,7.8,1.0,3.0,2.0,79.0,4.4,Yes,Yes,85.0,86.0,Placed
11.0,8.3,2.0,3.0,2.0,90.0,4.8,Yes,Yes,82.0,88.0,Placed
12.0,7.9,1.0,3.0,2.0,90.0,4.8,Yes,Yes,71.0,87.0,Placed
,8.3,2.0,3.0,2.0,,4.5,Yes,Yes,84.0,,Placed
14.0,7.7,1.0,1.0,1.0,74.0,4.6,No,Yes,63.0,73.0,NotPlaced
15.0,7.5,1.0,1.0,1.0,66.0,4.1,No,No,61.0,66.0,NotPlaced
16.0,7.4,0.0,2.0,1.0,78.0,4.4,No,No,63.0,66.0,NotPlaced
17.0,8.6,0.0,3.0,0.0,84.0,4.8,Yes,Yes,62.0,78.0,Placed
18.0,8.2,2.0,3.0,2.0,90.0,4.7,Yes,Yes,84.0,86.0,Placed
19.0,6.8,2.0,3.0,0.0,73.0,4.4,Yes,,,82.0,Placed
20.0,7.4,1.0,2.0,0.0,70.0,4.4,No,Yes,58.0,,NotPlaced
21.0,7.6,2.0,1.0,0.0,84.0,4.4,No,Yes,77.0,75.0,Placed
22.0,7.4,1.0,2.0,1.0,72.0,3.5,No,Yes,82.0,69.0,Placed
23.0,7.7,0.0,1.0,0.0,77.0,3.4,No,Yes,55.0,72.0,Placed
24.0,7.4,1.0,1.0,0.0,60.0,3.8,No,No,55.0,71.0,
25.0,7.4,1.0,2.0,1.0,90.0,4.3,No,Yes,56.0,69.0,NotPlaced
26.0,6.7,1.0,1.0,1.0,70.0,4.0,No,No,68.0,57.0,NotPlaced
27.0,7.4,2.0,3.0,2.0,78.0,,Yes,Yes,76.0,82.0,NotPlaced
28.0,8.3,1.0,1.0,1.0,81.0,4.5,Yes,Yes,64.0,65.0,NotPlaced
29.0,7.5,1.0,2.0,1.0,84.0,4.4,No,No,66.0,73.0,
30.0,7.0,0.0,1.0,1.0,63.0,3.9,No,Yes,60.0,61.0,NotPlaced
31.0,8.4,2.0,3.0,2.0,90.0,4.6,Yes,Yes,55.0,80.0,Placed
32.0,7.4,1.0,2.0,1.0,76.0,4.7,No,Yes,66.0,69.0,NotPlaced
33.0,8.5,1.0,3.0,0.0,90.0,4.8,Yes,Yes,85.0,85.0,Placed
34.0,8.6,1.0,2.0,2.0,75.0,4.3,Yes,Yes,62.0,80.0,
35.0,6.9,0.0,1.0,0.0,70.0,3.9,No,Yes,79.0,68.0,Placed
36.0,7.8,,1.0,1.0,67.0,4.3,No,No,65.0,73.0,NotPlaced
37.0,8.3,1.0,2.0,2.0,89.0,4.8,Yes,Yes,75.0,81.0,Placed
38.0,8.2,1.0,2.0,2.0,77.0,4.2,No,Yes,72.0,72.0,Placed
39.0,8.5,2.0,3.0,3.0,90.0,4.7,Yes,Yes,79.0,86.0,Placed
40.0,6.7,0.0,3.0,2.0,88.0,4.2,Yes,Yes,72.0,86.0,Placed
41.0,8.6,2.0,3.0,1.0,90.0,4.8,Yes,Yes,63.0,84.0,Placed
42.0,8.3,2.0,3.0,2.0,85.0,4.8,Yes,Yes,77.0,,Placed
43.0,6.7,0.0,1.0,1.0,72.0,4.4,No,No,55.0,60.0,NotPlaced
44.0,8.6,2.0,3.0,2.0,88.0,4.7,Yes,,80.0,87.0,
45.0,7.4,1.0,,0.0,86.0,4.8,No,Yes,70.0,73.0,NotPlaced
46.0,6.7,1.0,1.0,2.0,73.0,4.5,No,,55.0,66.0,
47.0,6.9,1.0,1.0,1.0,76.0,4.4,No,No,55.0,65.0,NotPlaced
48.0,7.0,1.0,1.0,0.0,62.0,4.3,No,Yes,59.0,67.0,NotPlaced
49.0,8.1,1.0,3.0,2.0,90.0,4.6,Yes,Yes,,87.0,Placed
50.0,,1.0,2.0,,74.0,3.8,Yes,No,,66.0,NotPlaced
